graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n19_d75_adj_matrix,greedy,1,2872.74,0.053035708000606974,400,6,889,0,max_candidates
graph_n19_d75_adj_matrix,greedy,2,2882.0,0.0848277559998678,400,6,1619,0,max_candidates
graph_n19_d75_adj_matrix,local,0,2872.74,2.0024141579997377,370,5,218,0,time_limit
graph_n19_d75_adj_matrix,local,1,2903.25,2.001144800000475,343,4,221,0,time_limit
graph_n19_d75_adj_matrix,local,2,2871.52,2.001560779001011,370,10,254,0,time_limit
graph_n7_d25_adj_matrix,random,0,720.81,2.0000173629996425,6,1,446346,0,time_limit
graph_n7_d25_adj_matrix,random,1,720.81,2.000013875998775,6,1,362840,0,time_limit
graph_n7_d25_adj_matrix,random,2,720.81,2.000020653998945,8,2,378750,0,time_limit
graph_n7_d25_adj_matrix,greedy,0,720.81,2.000017864000256,2,1,357782,0,time_limit
graph_n7_d25_adj_matrix,greedy,1,720.81,2.000020171999495,3,2,369875,0,time_limit
graph_n7_d25_adj_matrix,greedy,2,720.81,2.0000121430002764,2,1,366477,0,time_limit
graph_n7_d25_adj_matrix,local,0,720.81,2.0008908880008676,2,1,1353,0,time_limit
graph_n7_d25_adj_matrix,local,1,720.81,2.0013169220001146,1,1,1339,0,time_limit
graph_n7_d25_adj_matrix,local,2,720.81,2.0005499279996,2,1,1332,0,time_limit
graph_n4_d50_adj_matrix,random,0,445.0,2.0000182289986697,3,2,517409,0,time_limit
graph_n4_d50_adj_matrix,random,1,445.0,2.0000196269993467,3,3,526410,0,time_limit
graph_n4_d50_adj_matrix,random,2,445.0,2.0000179529997695,3,2,515294,0,time_limit
graph_n4_d50_adj_matrix,greedy,0,445.0,2.0000164869998116,1,1,511430,0,time_limit
graph_n4_d50_adj_matrix,greedy,1,445.0,2.0000112500001705,1,1,513271,0,time_limit
graph_n4_d50_adj_matrix,greedy,2,445.0,2.0000199110018,1,1,513668,0,time_limit
graph_n4_d50_adj_matrix,local,0,445.0,2.0001755169996613,1,1,1678,0,time_limit
graph_n4_d50_adj_matrix,local,1,445.0,2.000629135998679,1,1,1709,0,time_limit
graph_n4_d50_adj_matrix,local,2,445.0,2.000442729000497,1,1,1592,0,time_limit
