graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n7_d25_adj_matrix,local,2,720.81,2.000934611000048,1,1,1349,0,time_limit
graph_n4_d50_adj_matrix,random,0,445.0,2.0000201139991987,3,1,496625,0,time_limit
graph_n4_d50_adj_matrix,random,1,445.0,2.000016701998902,3,3,535830,0,time_limit
graph_n4_d50_adj_matrix,random,2,445.0,2.0000166419995367,3,2,525346,0,time_limit
graph_n4_d50_adj_matrix,greedy,0,445.0,2.0000306199999613,1,1,532624,0,time_limit
graph_n4_d50_adj_matrix,greedy,1,445.0,2.0000313990003633,1,1,525116,0,time_limit
graph_n4_d50_adj_matrix,greedy,2,445.0,2.000018139000531,1,1,529519,0,time_limit
graph_n4_d50_adj_matrix,local,0,445.0,2.0008771320008236,1,1,1685,0,time_limit
graph_n4_d50_adj_matrix,local,1,445.0,2.000528213000507,1,1,1641,0,time_limit
graph_n4_d50_adj_matrix,local,2,445.0,2.0002245499999844,1,1,1692,0,time_limit
graph_n5_d25_adj_matrix,random,0,322.95,2.000018247999833,2,2,552724,0,time_limit
graph_n5_d25_adj_matrix,random,1,322.95,2.0000138579998747,2,1,570040,0,time_limit
graph_n5_d25_adj_matrix,random,2,322.95,2.000016381000023,2,2,569212,0,time_limit
graph_n5_d25_adj_matrix,greedy,0,322.95,2.0000177179990715,2,1,522305,0,time_limit
graph_n5_d25_adj_matrix,greedy,1,322.95,2.000015842000721,2,1,569592,0,time_limit
graph_n5_d25_adj_matrix,greedy,2,322.95,2.0000158519997058,2,2,568688,0,time_limit
graph_n5_d25_adj_matrix,local,0,322.95,2.0006121700007498,1,1,1747,0,time_limit
graph_n5_d25_adj_matrix,local,1,322.95,2.000986181999906,1,1,1719,0,time_limit
graph_n5_d25_adj_matrix,local,2,322.95,2.0001179889986815,1,1,1661,0,time_limit
graph_n12_d12.5_adj_matrix,random,0,1108.23,2.0000128869996843,9,1,363070,0,time_limit
graph_n12_d12.5_adj_matrix,random,1,1108.23,2.0000149919997057,9,2,358505,0,time_limit
graph_n12_d12.5_adj_matrix,random,2,1108.23,2.0000133239991555,9,5,352387,0,time_limit
graph_n12_d12.5_adj_matrix,greedy,0,1108.23,2.0000161269999808,1,1,387453,0,time_limit
graph_n12_d12.5_adj_matrix,greedy,1,1108.23,2.0000136920007208,1,1,384680,0,time_limit
graph_n12_d12.5_adj_matrix,greedy,2,1108.23,2.0000162160013133,1,1,338034,0,time_limit
graph_n12_d12.5_adj_matrix,local,0,1108.23,2.0000663709997752,1,1,1015,0,time_limit
graph_n12_d12.5_adj_matrix,local,1,1108.23,2.0005017039984523,1,1,979,0,time_limit
graph_n12_d12.5_adj_matrix,local,2,1108.23,2.000828922000437,1,1,1026,0,time_limit
graph_n12_d25_adj_matrix,random,0,1597.49,2.0000264490008703,125,6,269556,0,time_limit
graph_n12_d25_adj_matrix,random,1,1597.49,2.0000368649998563,69,5,224632,0,time_limit
graph_n12_d25_adj_matrix,random,2,1597.49,2.0000289119998342,137,4,304493,0,time_limit
graph_n12_d25_adj_matrix,greedy,0,1597.49,2.0000148130002344,9,2,265840,0,time_limit
graph_n12_d25_adj_matrix,greedy,1,1597.49,2.0000176849989657,8,3,275648,0,time_limit
graph_n12_d25_adj_matrix,greedy,2,1597.49,2.0000167159996636,8,2,254551,0,time_limit
graph_n12_d25_adj_matrix,local,0,1597.49,2.0002020849988185,3,1,916,0,time_limit
graph_n12_d25_adj_matrix,local,1,1597.49,2.001979777000088,4,1,913,0,time_limit
graph_n12_d25_adj_matrix,local,2,1597.49,2.001762507999956,4,1,926,0,time_limit
